NPA,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
371,37,844,37,845,16,356,5,120,5,120,5,121,15,337,0,0,12,261,12,261,12,261,12,261,90,2039,90,2039,90,2020,90,2041,7.2,9.3,7.8,12.6,11,11.9,18,51.7,44,64.1,65,67,67,66,36,42,32
372,0,0,0,0,10,444,22,964,22,948,21,941,21,902,20,887,20,883,20,867,10,425,10,418,19,833,19,833,20,867,19,832,0,1.5,1.4,0.3,5,4.4,12.9,69.8,74.3,77.3,76,74,76,73,5,6,4
373,0,0,0,0,28,313,29,318,29,318,29,317,21,230,0,0,27,306,28,306,28,306,27,304,42,462,41,453,41,449,41,451,0,0,0,0,7,0,7.3,73.7,90.6,92.7,77,80,82,77,3,3,2
374,36,409,8,91,50,564,50,563,49,562,49,559,64,739,51,577,51,576,51,575,50,572,51,581,100,1137,100,1137,100,1138,100,1135,5.1,8.4,9.2,10.8,11.5,8.4,12.6,57.7,49.4,52.9,72,70,69,67,45,47,33
375,9,78,0,0,33,282,32,281,32,280,32,279,41,354,37,325,37,324,37,322,37,321,38,323,9,74,9,74,8,73,9,76,0,0,0,0,7.4,6.7,3.6,92.6,90,100,83,82,85,78,1,1,1
376,4,56,4,56,24,359,24,361,21,302,21,304,22,309,24,356,24,358,21,299,12,178,12,171,26,388,26,394,27,394,28,411,1.1,2.4,1.1,2.9,9.6,9.8,8.6,70.2,75.6,79.6,71,65,65,67,13,16,10
377,0,0,0,0,0,3,0,3,0,3,0,3,4,70,3,62,3,62,3,62,3,62,3,63,0,0,0,0,0,0,0,0,0.7,2,3.9,1.9,14.1,8.5,10.1,71.1,63.4,73.2,63,69,72,66,12,16,9
378,6,133,42,919,40,860,41,886,40,863,39,833,40,835,70,1508,73,1582,73,1560,72,1529,65,1364,97,2107,97,2108,98,2110,100,2114,0,1.2,0,0,12,8.7,5.1,80.9,90.1,96.8,72,69,69,77,3,4,4
379,8,102,11,149,12,156,10,135,10,132,9,123,15,195,43,574,39,520,37,487,36,478,36,466,9,122,9,122,9,122,9,122,0,0,0,0,12.2,6.5,2.6,81.6,91.3,92.1,77,74,71,77,1,1,1
380,1,13,1,13,7,135,7,135,7,135,7,135,5,97,2,39,6,117,6,117,6,117,6,117,3,58,3,58,3,58,2,43,0,1.2,0,0,4.4,8.3,5.6,77.2,83.3,87.6,72,74,75,70,2,2,1
381,32,640,33,687,79,1601,50,1036,41,709,35,607,29,510,63,1278,60,1233,15,269,47,823,47,823,82,1652,80,1656,96,1681,96,1682,1,1,2.1,3.2,4.8,3,12.6,73.3,77.8,87.4,70,72,74,73,9,11,8
382,74,675,67,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,916,100,915,100,931,100,933,2.3,3.5,9.3,8.9,13.6,11.8,20.4,64.8,70.6,64.8,63,66,68,67,23,26,22
383,84,1343,86,1362,31,495,31,495,31,495,31,495,24,390,78,1242,78,1242,78,1242,78,1242,48,770,99,1568,99,1568,99,1568,63,1008,6.1,4.5,2.1,4.4,9.2,4.5,7.6,55.8,57.9,60.4,72,74,68,68,18,24,18
384,62,1605,62,1129,53,1386,66,1208,67,1208,59,856,55,813,74,1928,70,1273,70,1273,76,1105,64,932,100,2593,100,1821,100,1813,100,1460,0,0,0,0,12.5,9.1,0,72.9,84.8,65.5,57,44,,,3,3,4
385,0,0,0,0,1,26,1,26,1,27,1,27,3,68,26,505,26,518,26,519,0,6,0,6,81,1601,81,1608,81,1609,81,1635,6.7,4.7,8.6,13.1,15.8,14.8,16,57.6,49.7,61.7,66,63,64,63,43,51,44
386,25,209,26,215,24,198,24,204,24,206,24,206,26,220,31,255,31,260,31,262,31,263,31,263,100,828,100,841,100,845,100,847,8.8,6.4,2.3,0,8.8,27.7,11.6,54.4,59.6,67.4,65,62,66,62,20,24,22
387,29,271,35,328,45,426,45,425,45,427,45,427,29,278,45,425,45,423,45,425,57,536,56,536,98,923,98,920,98,922,98,924,6.8,6,13.6,18.5,12.5,16.9,16.7,52.3,60.2,71.2,68,65,65,65,48,53,44
388,15,215,7,64,14,206,21,206,20,195,0,0,0,0,59,853,48,473,47,462,37,308,39,324,97,1410,96,947,96,937,95,784,0,5.8,1.8,7.7,8.2,15.4,16.4,68.9,73.1,87.3,73,67,71,65,8,15,16
389,13,459,37,1309,33,1176,13,460,13,460,13,460,16,534,18,626,18,627,18,627,18,627,19,627,84,2990,84,2992,84,2991,80,2868,3.1,7.5,5.4,8.3,8.7,13.3,8.9,53.3,53.8,51.1,79,79,81,73,23,28,25
390,0,0,0,0,0,0,0,0,0,0,0,0,17,136,76,600,93,731,93,729,93,737,93,739,36,279,35,276,37,286,22,175,1.6,0,2,1.8,8.1,6,10,54.8,66,74,74,70,67,72,18,22,14
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,688,71,688,71,688,71,688,1.3,1.4,0,1.4,2.6,2.8,1.8,78.2,90.1,94.6,76,78,79,75,4,5,4
392,29,1191,29,1186,30,1259,54,2217,53,2160,53,2133,53,2121,9,358,28,1145,28,1146,28,1125,27,1085,87,3606,88,3581,87,3568,87,3523,0,0,0,0,6.6,4.3,6.7,84.9,91.8,95.9,79,78,78,77,1,2,1
393,15,390,15,390,62,1655,51,1378,54,1502,55,1622,56,1643,18,475,21,574,34,960,33,960,33,961,64,1705,63,1700,62,1741,59,1739,0,0.6,1.1,3.4,7.5,9.4,7,71.3,79.9,82.9,71,75,76,73,9,9,8
394,0,0,12,170,26,369,26,371,26,371,25,362,0,0,0,1,10,139,12,179,9,130,9,134,48,688,48,690,48,692,47,680,0,1.3,1.4,1.3,6.9,7.7,5.8,69.4,64.1,82.6,76,77,80,81,17,19,12
395,52,343,52,341,22,149,22,148,22,148,22,149,18,117,89,594,89,591,89,593,30,202,29,187,77,512,45,297,45,298,45,296,0,0,0,8.7,13.8,17.4,0,69,65.2,85.7,76,78,79,77,9,9,13
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.8,1.8,5.8,10.9,1.9,5.4,65.6,64.2,78.6,68,65,69,72,10,13,10
397,0,0,0,0,94,1061,44,495,42,453,42,391,100,919,91,1021,91,1021,90,979,100,917,99,917,91,1023,91,1024,94,1024,100,921,0,0,0,6.7,9.7,5.9,8.8,64.5,64.7,76.5,63,59,74,79,4,5,6
398,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,100,424,100,415,100,397,100,384,5,0,0,0,10,0,15.4,50,91.7,84.6,76,,,,5,5,4
399,53,579,37,391,56,608,53,558,54,558,0,0,74,767,49,532,50,533,51,533,82,845,82,845,100,1085,100,1057,100,1036,100,1030,0,1.8,0,0,1.9,5.3,5.7,65.4,66.7,79.2,71,72,75,71,4,5,5
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,454,53,468,53,468,53,468,0,0,0,0,3.1,6.7,0,68.8,90,90.9,80,78,75,67,3,2,3
401,20,167,20,167,7,60,7,60,7,60,7,60,8,66,28,232,28,233,28,233,9,72,9,72,57,472,36,295,36,294,36,292,3,0,0,4.3,6.1,3.1,5.3,72.7,56.3,78.9,73,79,72,67,11,10,28
402,0,0,0,0,1,6,7,39,7,39,7,40,8,46,2,12,2,12,2,12,2,12,2,11,0,1,38,217,0,0,0,0,0,0,4.5,0,4.2,5,18.2,62.5,75,63.6,77,75,73,74,5,6,7
403,20,142,20,141,12,81,12,80,12,78,7,47,14,85,15,103,15,101,15,99,14,89,2,10,0,0,0,0,0,0,0,0,0,8.7,0,0,8,4.3,0,68,69.6,88.2,78,76,73,73,5,6,6
404,0,0,0,0,67,574,62,533,63,532,63,533,56,472,47,403,65,551,65,550,65,551,65,548,92,780,85,723,85,719,85,720,1.9,4.8,1.9,3.1,11.1,4.8,11.3,55.6,54.8,58.5,72,64,73,70,13,18,26
405,0,0,2,24,1,10,0,0,0,0,0,0,0,0,1,10,1,10,1,7,1,7,1,7,99,1369,81,1120,81,1120,81,1118,1.1,0,0,1.8,7.9,5.5,11.3,70.8,82.4,79.2,73,72,75,77,6,6,11
406,19,179,16,135,17,155,17,146,17,146,19,158,13,103,14,128,15,128,15,128,16,130,15,117,33,307,35,306,36,306,38,307,0,3.7,0,4.3,0,11.1,9.5,71.8,74.1,81,82,80,79,73,5,7,8
407,1,4,1,4,23,168,25,179,25,177,25,177,19,136,24,176,24,170,24,168,24,168,15,105,44,322,41,294,40,285,40,277,3,3.2,0,5,6.1,19.4,10.5,63.6,51.6,73.7,76,80,76,70,8,10,11
408,36,387,36,383,36,389,36,385,36,385,36,379,36,371,40,435,40,431,40,431,40,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.5,9.1,71.4,76.6,72.7,79,76,81,76,7,6,5
409,30,313,29,304,30,314,30,311,30,308,29,301,0,0,30,314,30,311,30,308,29,301,29,297,58,614,59,620,59,620,60,617,0,0,0,0,6.9,3.4,0,79.3,62.1,79.5,74,71,77,70,1,1,1
410,0,0,0,0,20,204,0,0,0,0,0,0,20,203,0,0,0,0,0,0,0,0,0,0,98,980,99,989,99,987,99,988,0,0,0,0,8.3,5.3,5,58.3,73.7,80,75,76,79,78,3,4,3
411,8,50,21,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,223,1,7,1,7,1,7,4.3,4.1,0,0,10.6,2,6,68.1,67.3,70.1,71,,70,65,9,11,15
412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,4,1,3,1,3,1,2,1,2,1,2,1,2,0,0,0,8.3,16.7,0,0,50,50,62.5,72,78,79,74,3,4,7
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,15,180,14,176,14,176,14,175,0,1.2,1.7,1,3.1,2.5,6.9,66.2,86.4,77.6,74,74,65,67,2,3,4
416,95,852,4,40,100,893,100,893,100,893,100,893,100,893,100,893,100,893,100,893,100,893,100,893,97,865,100,893,100,893,97,865,0,2.3,0,0,6.4,4.7,3,63.8,62.8,57.6,71,72,70,48,7,7,6
417,29,227,26,185,42,331,46,331,51,331,51,331,42,273,41,325,45,325,50,325,50,325,50,325,59,465,65,467,71,464,71,462,0,0,2.1,0,12.5,11.9,6.4,68.8,73.8,72.3,80,82,82,82,8,8,13
418,35,413,0,0,31,363,31,363,31,363,0,0,36,422,30,349,30,349,30,349,44,521,45,522,87,1017,76,892,76,892,63,740,0,0,1.5,0,2,0,10.3,70,73.2,79.4,75,80,71,61,4,4,4
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,875,20,192,20,192,10,96,0,0,1.8,1.3,8.5,10.4,12.3,78,74.6,75.4,69,77,77,70,1,1,1
420,0,0,0,0,35,386,34,377,34,377,35,377,17,176,52,583,52,582,53,582,54,582,55,581,60,673,49,544,49,538,48,520,0,0,0,1.6,3.3,9.7,9.5,73.8,77.4,82.5,76,76,77,68,3,4,5
421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,2,10,2,10,2,10,0,0,0,0,2.6,2.2,5.7,70.1,71.1,65.7,77,52,64,66,4,5,5
422,7,66,0,0,10,88,3,22,3,22,4,22,3,20,9,75,1,9,1,9,2,9,2,10,34,301,29,235,29,235,40,235,0,4.2,6,6.3,10.5,0,7.5,59.2,61.1,55.2,59,67,67,71,18,20,39
423,0,0,0,0,6,50,4,30,4,30,4,30,3,24,2,14,2,14,2,14,2,14,2,14,11,92,12,93,13,93,13,93,0,3.9,0,0,4.9,11.5,2.5,82.9,84.6,82.5,72,74,71,69,6,7,7
424,0,0,0,0,58,450,43,333,43,332,43,333,43,335,46,355,46,356,46,355,46,356,46,357,27,207,30,234,30,234,30,234,0,0,3.7,5,5,6.3,14.8,70,93.8,81.5,76,78,75,71,2,2,2
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,75,60,85.7,79,73,66,70,3,3,4
426,0,0,0,0,69,560,69,560,69,560,69,560,62,500,69,558,69,559,69,559,69,558,69,559,64,516,64,518,64,518,64,518,0,0,0,5.9,8.6,4.3,5.3,62.9,82.6,68.4,73,73,74,76,8,10,12
428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,7,38,7,35,7,35,0,2.3,0,16.7,7.5,11.6,11.8,65,65.1,52.9,78,74,80,74,17,20,17
430,0,0,0,0,34,558,33,526,32,495,32,495,75,969,0,0,0,0,0,0,0,0,0,0,32,533,35,559,36,559,37,559,1.8,0.9,4.7,3.7,6.3,11.8,5.8,68.5,68.2,76.7,84,82,82,81,20,23,27
431,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,5,32,3,19,3,19,2,17,2.5,0,2.3,6.3,12.5,0,6.8,52.5,63.2,79.5,69,73,70,69,13,16,16
432,0,0,0,0,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,248,27,248,28,249,28,249,0,0,2.4,0,5.4,1.9,0,62.5,77.8,82.9,66,77,72,66,8,10,12
433,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,65,210,65,209,64,208,64,208,0,0,0,0,5.3,5.6,0,68.4,83.3,100,,74,65,76,2,3,5
434,0,0,0,0,0,0,12,138,13,135,13,130,14,124,13,154,13,149,13,142,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,3.2,3.1,13.9,3.9,63.1,69.4,72.5,70,71,73,71,2,4,6
435,0,0,0,0,0,1,0,1,0,1,4,9,3,6,5,13,5,12,5,12,6,13,6,14,10,24,10,24,10,24,11,25,0,0,0,,9.1,0,20,63.6,60,100,75,83,81,68,6,7,8
436,0,0,0,0,34,204,34,204,34,203,39,234,46,279,39,237,45,269,44,268,44,268,44,266,48,290,48,290,48,289,48,289,0,3.5,2.9,7.8,7.3,0,8.8,70.7,75.9,67.6,73,67,75,73,15,16,15
437,0,0,0,0,1,14,1,14,1,14,1,14,0,0,1,14,1,14,1,14,1,14,0,0,53,749,54,728,54,681,56,643,1.8,1.1,1.2,2.5,3.5,5.4,8.1,67.5,71.7,62.8,75,73,73,70,9,9,15
438,1,6,1,6,62,682,40,368,41,332,43,287,41,170,60,665,58,534,46,372,46,308,33,136,78,863,83,762,82,661,80,540,0,0,0,0,9.8,0,4.8,75.6,60.6,81,73,67,79,,4,7,12
442,0,0,0,0,36,268,37,268,37,268,51,364,47,334,43,321,45,328,45,328,51,364,51,364,44,331,45,331,46,331,46,331,4.3,2,9.1,8,14.9,2,10.9,44.7,70.6,63.6,75,78,77,70,20,23,16
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,5.3,11.4,68.8,78.9,82.9,68,74,75,71,7,6,10
444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,5.9,3.5,3.8,9.2,69,61.3,80,64,67,61,56,13,17,24
445,0,0,0,0,19,192,19,192,19,191,19,192,17,171,2,25,2,25,2,25,2,25,2,25,100,1019,100,1019,100,1018,100,1019,0,0,0,0,4.8,6.3,4.1,69.9,70.3,75.7,77,73,70,69,4,5,6
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,102,6,32,6,32,7,32,0,1.6,0,0,11.5,9.8,10.2,65.4,72.1,49,51,48,59,72,7,10,12
447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,887,41,395,42,387,42,383,0,1.2,0,1.4,8.8,8.4,5.3,67.7,69.9,64.2,64,66,81,78,5,7,6
448,15,239,14,222,45,735,46,728,47,728,2,31,0,0,46,744,46,728,47,728,39,586,45,587,54,882,52,838,50,774,49,735,1.4,1.5,1.2,1.3,5.5,9.1,12.8,78.1,77.3,69.8,67,69,66,72,5,6,5
449,13,121,8,73,18,173,18,171,19,175,19,173,0,0,19,177,19,175,19,180,19,180,19,176,42,391,42,393,42,398,42,391,0,0,0,0,4.6,0,30,81.8,88.9,86.7,76,71,76,77,1,1,1
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,551,37,503,41,545,42,539,0,0,0,1,8.5,7.4,8.4,73.4,70.5,69.9,74,73,74,71,3,3,4
451,0,0,0,3,0,2,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,3,0,3,97,1373,97,1314,97,1269,97,1185,0,0,0,0,5.7,8.2,1.6,77.1,77,77.8,68,72,60,78,,,
452,3,16,0,0,19,117,21,129,21,127,21,128,0,0,19,116,23,139,22,135,22,136,25,131,98,591,97,583,97,581,97,585,0,3.7,0,0,2,5.6,11.9,73.5,81.5,66.7,81,73,84,81,10,8,6
453,0,0,0,0,56,514,56,510,56,511,56,511,54,496,0,0,11,98,11,99,11,99,12,111,98,899,93,855,93,853,93,856,0,1.9,0,1.9,7.5,3.7,2.1,62.5,55.6,60.4,78,76,80,72,15,20,31
454,0,0,0,1,12,64,11,62,11,62,11,57,6,33,11,57,10,56,10,56,9,51,7,36,23,125,23,125,23,125,23,124,0,0,0,0,4.6,5,0,63.6,70,81.3,77,80,65,69,5,5,6
455,10,83,11,84,13,111,17,127,17,126,17,126,20,149,17,146,19,146,19,145,19,145,19,145,0,0,0,0,0,0,0,0,3.9,0,4.8,2.9,0,13.3,4.8,69.2,66.7,76.2,79,77,78,69,5,7,5
456,45,180,33,183,44,177,33,178,33,178,33,183,91,181,39,155,29,156,29,158,30,163,82,164,47,188,100,547,100,546,100,552,,,,,,,,,,,89,88,89,83,20,11,16
457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,218,59,217,59,217,60,218,0,0,0,0,0,11.1,22.2,88.9,100,88.9,74,66,77,73,3,3,3
458,0,0,0,0,9,36,0,1,0,1,0,1,2,8,9,36,16,62,16,62,16,62,16,63,85,334,68,266,68,266,68,266,0,0,0,0,0,10.3,3.1,85.7,65.5,71.9,69,76,71,71,4,6,8
459,0,0,0,0,13,124,13,124,13,124,13,124,10,93,13,124,13,124,13,124,13,124,13,124,43,420,43,420,43,420,43,420,0,0,0,1.6,9.2,11.9,12.1,72.3,76.3,83.3,68,62,77,70,10,11,14
460,35,383,35,383,0,0,0,0,0,0,0,0,0,0,33,357,33,358,6,65,25,270,26,270,100,1082,100,1083,100,1084,100,1072,2.7,4,4.5,4.7,4.1,6.6,6.1,68.9,69.7,83.3,73,68,71,67,11,12,14
462,0,0,1,4,0,3,0,4,1,4,1,4,0,0,0,4,0,4,1,4,1,5,1,5,43,368,44,353,47,356,47,350,0,0,4.4,3.6,12.3,10.1,8.8,64.4,60.8,48.5,62,71,71,71,7,12,20
463,80,861,79,793,41,440,37,374,37,374,37,374,0,0,44,472,57,578,13,128,32,328,33,328,34,366,28,282,28,282,28,283,3.8,0,3,3.7,15,7.9,12.1,57.5,52.4,34.8,64,67,71,69,14,20,17
464,32,459,5,67,20,282,10,122,10,123,10,123,13,165,25,358,16,199,16,200,16,200,16,201,19,278,21,273,21,273,25,312,0,1.1,0,1.1,3,5.5,4.7,67.3,75.8,70.6,74,66,71,62,2,3,4
465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,495,100,495,100,495,100,495,0,0,0,4.5,15.4,2.9,10,80.8,52.9,75,75,73,70,79,8,10,18
466,0,0,0,0,5,46,5,46,5,46,5,46,7,61,7,69,7,69,7,70,7,70,8,70,45,437,43,410,46,439,46,432,1.5,0,0,1.4,7.4,3,8.2,60.3,65.2,63,74,71,72,78,9,12,14
467,37,267,11,77,40,287,40,287,40,287,40,287,26,178,60,429,60,429,60,427,60,427,61,417,35,251,0,0,0,0,0,0,0,0,0,0,8,6.3,4.9,70,77.1,68.3,70,67,75,73,5,5,6
468,0,0,0,0,15,13,15,13,17,15,17,15,0,0,31,27,31,27,35,31,33,29,33,29,74,64,70,60,70,62,72,63,,,,,,,,,,,,,,,,,
469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,621,91,630,91,633,91,628,0,0,0,0,9.1,13.6,9.1,86.4,100,77.3,69,64,67,67,,,
470,0,0,50,514,16,160,15,159,15,159,15,157,5,56,7,69,7,69,7,69,7,69,6,66,48,498,48,493,37,381,37,379,0,0,0,0,13,14.8,8.3,69.6,85.2,83.3,72,79,73,71,2,2,1
471,17,211,35,450,85,1080,85,1079,85,1080,85,1082,44,558,44,556,47,603,47,601,47,604,47,598,98,1244,100,1268,100,1269,100,1273,0,2.1,4.4,3.7,6.1,8.3,8.9,65.3,75,60,76,75,70,59,6,7,7
472,14,77,16,89,2,10,2,11,2,11,2,11,0,0,10,55,10,56,10,56,10,56,10,55,69,378,69,375,69,372,69,369,6.3,0,0,0,6.3,0,0,62.5,88.2,100,79,74,82,70,2,2,4
473,42,445,61,635,79,832,79,822,79,828,79,814,0,0,54,572,54,564,66,687,56,571,56,566,88,921,88,911,80,835,80,821,0,3.3,0,0,3.6,3.3,4,60.7,60,76,75,75,62,67,,,
474,19,217,44,511,61,701,61,698,61,698,61,695,51,579,48,552,48,552,48,552,48,552,48,552,36,410,34,392,34,391,34,389,2.6,0,0,0,5.1,6.7,13.5,79.5,76.7,62.2,72,72,76,81,4,3,5
475,19,166,19,162,12,108,13,109,13,109,13,107,0,0,32,283,33,280,27,225,33,272,43,260,100,878,100,845,100,841,100,818,0,0,0,0,11.1,0,11.1,72.2,69.2,77.8,88,86,86,82,,,
